Method,Robots,Tasks,Candidates,Score,Length
rank_assignments_cumulative_voting,10,7,50,3.6161196607472523,316.7
rank_assignments_condorcet_method,10,7,50,4.426359546175108,10880.6
rank_assignments_range,10,7,50,4.384706152448927,62.6
cbba_task_allocation,10,7,50,4.515821285069139,38.8
ssia_task_allocation,10,7,50,4.515821285069139,9.7
ilp_task_allocation,10,7,50,4.515821285069139,23832.6
jv_task_allocation,10,7,50,4.515821285069139,93.1
rank_assignments_borda,10,7,50,5.045604121337348,288.1
rank_assignments_approval,10,7,50,5.863541822733696,250.3
rank_assignments_majority_judgment,10,7,50,3.4509259418000737,405.6
rank_assignments_cumulative_voting,10,7,50,5.043787966992926,324.0
rank_assignments_condorcet_method,10,7,50,5.654058029216289,11376.4
rank_assignments_range,10,7,50,5.137440856031225,64.9
cbba_task_allocation,10,7,50,5.955378557427573,45.0
ssia_task_allocation,10,7,50,5.955378557427573,10.4
ilp_task_allocation,10,7,50,5.955378557427573,23218.5
jv_task_allocation,10,7,50,5.955378557427574,93.6
rank_assignments_borda,10,7,50,2.752337415480455,285.6
rank_assignments_approval,10,7,50,5.567689510516943,206.4
rank_assignments_majority_judgment,10,7,50,1.8407468250458079,482.7
rank_assignments_cumulative_voting,10,7,50,5.567689510516943,325.0
rank_assignments_condorcet_method,10,7,50,4.567689510516943,10899.7
rank_assignments_range,10,7,50,3.752337415480455,62.2
cbba_task_allocation,10,7,50,6.47928010095159,54.3
ssia_task_allocation,10,7,50,6.47928010095159,9.8
ilp_task_allocation,10,7,50,6.47928010095159,23653.3
jv_task_allocation,10,7,50,6.47928010095159,92.2
rank_assignments_borda,10,7,100,3.40757128650512,570.1
rank_assignments_approval,10,7,100,1.706002018032093,406.6
rank_assignments_majority_judgment,10,7,100,2.5393613159497335,844.8
rank_assignments_cumulative_voting,10,7,100,4.288549632041808,670.0
rank_assignments_condorcet_method,10,7,100,3.4509519063843808,44362.3
rank_assignments_range,10,7,100,3.4551903341241674,124.1
cbba_task_allocation,10,7,100,4.366780924558815,41.3
ssia_task_allocation,10,7,100,3.5836049676088706,10.6
ilp_task_allocation,10,7,100,4.366780924558815,24162.8
jv_task_allocation,10,7,100,4.366780924558815,92.6
rank_assignments_borda,10,7,100,5.469966462625899,579.4
rank_assignments_approval,10,7,100,6.620489358351354,424.1
rank_assignments_majority_judgment,10,7,100,0.9532439841608285,729.5
rank_assignments_cumulative_voting,10,7,100,4.601081595246111,644.4
rank_assignments_condorcet_method,10,7,100,4.8570054887626695,44935.2
rank_assignments_range,10,7,100,6.620489358351353,147.6
cbba_task_allocation,10,7,100,6.620489358351353,61.4
ssia_task_allocation,10,7,100,6.620489358351353,9.7
ilp_task_allocation,10,7,100,6.620489358351353,26687.8
jv_task_allocation,10,7,100,6.620489358351353,91.4
rank_assignments_borda,10,7,100,4.555619979666595,566.5
rank_assignments_approval,10,7,100,2.7337194419752637,421.0
rank_assignments_majority_judgment,10,7,100,2.6047509913056133,722.5
rank_assignments_cumulative_voting,10,7,100,5.377748831207212,653.8
rank_assignments_condorcet_method,10,7,100,4.555619979666595,43359.8
rank_assignments_range,10,7,100,5.408361076105171,130.4
cbba_task_allocation,10,7,100,5.592034545492926,57.1
ssia_task_allocation,10,7,100,5.5920345454929254,9.7
ilp_task_allocation,10,7,100,5.592034545492926,21814.4
jv_task_allocation,10,7,100,5.592034545492926,95.9
rank_assignments_borda,10,7,100,3.5792565830159813,579.5
rank_assignments_approval,10,7,100,1.6547709993088144,414.8
rank_assignments_majority_judgment,10,7,100,1.6415724184410605,715.6
rank_assignments_cumulative_voting,10,7,100,4.269343143956147,636.9
rank_assignments_condorcet_method,10,7,100,4.4019962051806365,43568.6
rank_assignments_range,10,7,100,4.570663672167432,126.1
cbba_task_allocation,10,7,100,4.570663672167431,54.0
ssia_task_allocation,10,7,100,4.570663672167432,9.9
