Robots,Tasks,Candidates,Voting_Method,Suitability_Method,Score_Voting,Time_Voting,Score_CBBA,Time_CBBA,Score_SSIA,Time_SSIA,Score_ILP,Time_ILP
5,5,50,rank_assignments_approval,evaluate_suitability_distance,2.464300779,449.8,3.790816438,103.3,3.790816438,22.2,3.790816438,71608.7
5,5,50,rank_assignments_approval,evaluate_suitability_distance,1.537226868,622.3,7.443618976,132.1,4.035989803,22.1,7.443618976,68627.9
5,5,50,rank_assignments_approval,evaluate_suitability_priority,80.92674798,675.1,82.17674798,183.5,79.67674798,21.9,84.67674798,73255.8
5,5,50,rank_assignments_approval,evaluate_suitability_priority,62.4016476,638.8,59.9016476,148.3,59.9016476,21.9,66.4016476,70808.7
5,5,50,rank_assignments_approval,evaluate_suitability_priority,66.2289948,587.6,72.4789948,130,71.9789948,19.8,73.4789948,69583.3
5,5,50,rank_assignments_approval,evaluate_suitability_priority,57.03586977,632.9,69.53586977,148.7,60.53586977,21.1,72.78586977,73265
5,5,50,rank_assignments_approval,evaluate_suitability_priority,67.70071211,670.4,77.95071211,151.6,78.45071211,22.5,78.45071211,74328.2
5,5,50,rank_assignments_approval,evaluate_suitability_priority,62.73240887,672.7,66.73240887,116.8,59.98240887,21.1,67.48240887,78750.7
5,5,50,rank_assignments_approval,evaluate_suitability_priority,59.30523878,663.5,59.30523878,149.1,54.80523878,22.9,60.05523878,74598.3
5,5,50,rank_assignments_approval,evaluate_suitability_priority,59.76545903,669,69.51545903,146.8,69.76545903,22.9,70.01545903,71127
5,5,50,rank_assignments_approval,evaluate_suitability_priority,58.85509386,636.5,67.10509386,130.8,63.85509386,21.6,67.10509386,73024.4
5,5,50,rank_assignments_approval,evaluate_suitability_priority,53.25222755,670,55.00222755,155.2,53.75222755,21.9,55.25222755,74130.2
5,5,50,rank_assignments_approval,evaluate_suitability_priority,63.61196134,648.7,82.11196134,144.4,76.11196134,21,82.11196134,72450.8
5,5,50,rank_assignments_approval,evaluate_suitability_priority,52.34650299,631.3,61.09650299,130.2,57.34650299,20.5,63.34650299,71110
5,5,50,rank_assignments_approval,evaluate_suitability_priority,80.58106513,708.5,86.83106513,173.6,73.83106513,22.4,86.83106513,75490.6
5,5,50,rank_assignments_approval,evaluate_suitability_priority,52.48002342,729.6,57.98002342,257.8,57.98002342,25.2,59.98002342,74466.4
5,5,50,rank_assignments_approval,evaluate_suitability_priority,94.15158381,678.7,99.15158381,155.7,91.90158381,21.8,101.4015838,72401
5,5,50,rank_assignments_approval,evaluate_suitability_priority,62.11071113,669,75.86071113,145.8,66.86071113,22.2,76.61071113,73092.1
5,5,50,rank_assignments_approval,evaluate_suitability_priority,57.5284629,758,62.0284629,127.1,57.7784629,24.6,62.0284629,74047
5,5,50,rank_assignments_approval,evaluate_suitability_priority,85.47553852,723.5,95.72553852,148.4,79.72553852,21.7,96.22553852,69443.2
5,5,50,rank_assignments_approval,evaluate_suitability_priority,54.58110575,650.9,55.08110575,141.2,53.83110575,21.3,58.08110575,71509.6
5,5,50,rank_assignments_approval,evaluate_suitability_priority,64.7627896,678.3,64.5127896,123.3,63.0127896,23.3,67.0127896,70132.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,56.01184143,8396.8,55.01184143,141,52.01184143,22,56.01184143,66947.7
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,55.57876803,4763.7,58.07876803,219.2,59.57876803,25,61.07876803,74933
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,53.44011852,3898.9,59.44011852,169.4,55.44011852,22.6,59.44011852,69625.8
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,64.31365149,3697.2,66.31365149,188,67.31365149,22.1,69.81365149,71296.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,53.47105769,5285.6,55.97105769,191.5,51.97105769,25.9,57.97105769,73316.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,48.10640909,3690.9,52.60640909,140.5,47.60640909,20.9,52.60640909,74582.3
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,51.7310716,3724,57.7310716,104.2,53.7310716,21.2,57.7310716,71096.9
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,57.46762479,3378.2,64.46762479,199,62.96762479,32.2,64.46762479,75740.6
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,52.22673771,3697.9,57.72673771,184.8,56.22673771,22.1,59.22673771,72744.4
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,52.32039476,3668.9,56.82039476,138.1,57.32039476,22,57.32039476,71092
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,52.59621414,4786.3,53.09621414,174.2,56.09621414,25.3,58.09621414,72370.9
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,54.20345907,3447.8,64.20345907,95,63.20345907,19.6,64.20345907,71547.7
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,48.2107387,3979.8,57.2107387,115.3,54.2107387,21.2,57.2107387,71628.5
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,50.96912401,4730.3,51.96912401,150.1,52.96912401,24.2,53.96912401,75247.7
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,56.86790525,3649.5,63.36790525,104.1,61.86790525,20.9,65.86790525,62502.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,47.31705407,3515.4,48.81705407,112.8,52.81705407,20.1,52.81705407,68263.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,58.61326316,3847.7,61.61326316,90.6,58.11326316,10.9,63.61326316,71567.2
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,54.56106095,3615.8,67.06106095,144.4,60.06106095,22,67.06106095,68917.3
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,49.30257844,3649.4,60.30257844,152.7,60.30257844,22.2,60.30257844,72155.1
5,5,50,rank_assignments_majority_judgment,evaluate_suitability_loose,50.56899618,4655.1,51.56899618,188.4,50.56899618,25.6,52.06899618,63152.9
